spoken_hook,spoken_hook_framework,spoken_hook_structure,visual_hook_graphic,visual_hook_movement,visual_hook_layout,text_hook,audio_hook_structure,video_link,niche,content_type,performance_rank,views
"Do you want to research a disease? Do you want to write a book? Do you want to build an AI-powered robot? Chances are you want to change the world, but might not have the support to do so. Introducing RISE, an initiative that supports brilliant 15-17 year olds worldwide.","Do you want to [X]? Do you want to [Y]? Do you want to [Z]? Chances are you want to [bigger goal], but might not have [obstacle]. Introducing [solution], [description]",Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/ClmgD_AJeBV/,Content Marketing,Education,1,108111634
"He always trains his calves using a full range of motion, and he only does the top half. Who do you think will grow bigger calves?","[X person] always [Y method], and [Z person] only [method]. Who do you think will grow bigger [muscle]?",Educational/Tutorial,"Creator A-Roll,Creator in B-Roll",A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/C9FQ-W1OJtc/,Content Marketing,Education,1,33882243
"Planes used to have vibe, now they dont. Cars used to have vibe, now they dont. Houses used to have vibe, now they dont. But good design is about creating a feeling.","[X] used to have vibe, now they dont. [Y] used to have vibe, now they dont. [Z] used to have vibe, now they dont. But good design is about creating a feeling",Contrarian/Negative,"Creator A-Roll,Non-person B-Roll","A-Roll - None,B-Roll - Quick Cuts",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),No audio,https://www.instagram.com/hansloreidesign/reel/C5rJryFoZZH/,Content Marketing,Entertainment,1,20975904
What I wish I knew at 19 instead of 44.,What I wish I knew at [X age] instead of [Y age],Fortuneteller,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/jenlatch/reel/C3-e4acrDdB/,Content Marketing,Education,1,19099614
The bank offers you a debit card and a credit card. What should you choose?,The [X institution] offers you [Y option] and [Z option]. What should you choose?,Question,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/C2gYo0EtrxJ/,Content Marketing,Education,2,18586821
Why is Sam Sulek doing half reps? Is this actually effective for muscle growth?,Why is [X person] doing [Y unconventional method]? Is this actually effective for [Z goal]?,Educational/Tutorial,"Creator A-Roll,Subject in B-Roll","A-Roll - None,B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Music only,https://www.instagram.com/jeffnippard/reel/Cz6ffXWu3Qc/,Content Marketing,Education,2,18312327
that right there thats where we spent the night thats crazy dude this is the craziest place ive ever stayed in,"That right there, thats where [X experience]. Thats crazy dude, this is the [Y superlative] place Ive ever [Z action]",Raw Shock,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in world),Captions (repeat of spoken),No audio,https://www.instagram.com/karl_shakur/reel/DAq7bcRPbPg/,Content Marketing,Entertainment,1,18279099
Nobody fumbled a bag harder than the French gymnastics team.,Nobody [X failed action] harder than [Y example],Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/frankmichaelsmith/reel/C-YYI31RYlq/,Content Marketing,Entertainment,1,17754350
"Check this out, this guys building a real Iron Man suit in his garage. But to do it, he had to invent the worlds first personal hydrogen reactor. Its insane.","Check this out, this [X person] is building [Y project]. But to do it, they had to [Z requirement]. Its insane",Secret Reveal,"Arrow/Highlights,Creator A-Roll,Subject in B-Roll","A-Roll - Crash Zoom,B-Roll - Quick Cuts","Full screen A-roll (in studio),Split screen A-roll + B-roll",[X subject] does [Y thing],Music + SFX,https://www.instagram.com/kallaway/reel/DAi1lWIPFuB/,Tech,Entertainment,1,17556928
"If you use a shoulder-width handle like this with your arms held in, youll target the lats, terries major, and rear delts.","If you use [X technique], youll target [Y results]",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),None,Music only,https://www.instagram.com/davis.diley/reel/C5jCTs3gyfi/,Content Marketing,Education,1,16990510
"Your teacher announces the highest and lowest grades on the last exam. Somehow, you got the highest. Heres what you did.","Your [X authority] announces [Y results]. Somehow, you got [Z outcome]. Heres what you did",Raw Shock,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Music only,https://www.instagram.com/goharsguide/reel/DFgMlQsyYzJ/,Content Marketing,Entertainment,3,16811998
